"Story","Title","Result","Date","Stability","Duration (s)"
"Ver una cita","Ver la cita qye se quiere cancelar","SUCCESS","2025-06-05T20:43:46.4235353-05:00[America/Bogota]","0.0","10.51"
"Ver una cita","Ver un servicio","SUCCESS","2025-06-05T23:41:00.9311875-05:00[America/Bogota]","0.0","7.11"
